PositionX,PositionY,PositionZ
-58.29982,-6.330431,0
-58.29982,-6.330431,0
-58.22911,-6.401142,0
-58.22911,-6.401142,0
-58.1584,-6.471853,0
-58.1584,-6.471853,0
-58.08769,-6.542563,0
-58.08769,-6.542563,0
-58.01698,-6.613274,0
-58.01698,-6.613274,0
-57.94627,-6.683985,0
-57.94627,-6.683985,0
-57.87556,-6.754695,0
-57.87556,-6.754695,0
-57.80486,-6.825406,0
-57.80486,-6.825406,0
-57.73415,-6.896117,0
-57.73415,-6.896117,0
-57.66344,-6.966827,0
-57.66344,-6.966827,0
-57.59273,-7.037538,0
-57.59273,-7.037538,0
-57.52202,-7.108249,0
-57.52202,-7.108249,0
-57.45131,-7.178959,0
-57.45131,-7.178959,0
-57.3806,-7.24967,0
-57.3806,-7.24967,0
-57.30989,-7.320381,0
-57.30989,-7.320381,0
-57.23918,-7.391091,0
-57.23918,-7.391091,0
-57.16847,-7.461802,0
-57.16847,-7.561802,0
-57.16847,-7.661802,0
-57.16847,-7.761802,0
-57.16847,-7.861802,0
-57.16847,-7.961802,0
-57.16847,-8.061802,0
-57.16847,-8.161802,0
-57.16847,-8.261803,0
-57.16847,-8.361803,0
-57.16847,-8.461803,0
-57.16847,-8.561804,0
-57.16847,-8.661804,0
-57.16847,-8.761805,0
-57.16847,-8.861805,0
-57.16847,-8.961805,0
-57.16847,-9.061806,0
-57.16847,-9.161806,0
-57.16847,-9.261806,0
-57.16847,-9.361807,0
-57.16847,-9.461807,0
-57.16847,-9.561808,0
-57.16847,-9.661808,0
-57.16847,-9.761808,0
-57.16847,-9.861809,0
-57.16847,-9.961809,0
-57.16847,-10.06181,0
-57.16847,-10.16181,0
-57.16847,-10.26181,0
-57.16847,-10.36181,0
-57.16847,-10.46181,0
-57.16847,-10.56181,0
-57.16847,-10.66181,0
-57.16847,-10.76181,0
-57.16847,-10.86181,0
-57.16847,-10.96181,0
-57.16847,-11.06181,0
-57.16847,-11.16181,0
-57.16847,-11.26181,0
-57.16847,-11.36181,0
-57.16847,-11.46181,0
-57.16847,-11.56182,0
-57.16847,-11.66182,0
-57.16847,-11.76182,0
-57.16847,-11.86182,0
-57.16847,-11.96182,0
-57.16847,-12.06182,0
-57.16847,-12.16182,0
-57.16847,-12.26182,0
-57.16847,-12.36182,0
-57.16847,-12.46182,0
-57.16847,-12.56182,0
-57.16847,-12.66182,0
-57.16847,-12.76182,0
-57.16847,-12.86182,0
-57.16847,-12.96182,0
-57.16847,-13.06182,0
-57.16847,-13.16182,0
-57.16847,-13.26182,0
-57.16847,-13.26182,0
-57.09776,-13.33253,0
-57.09776,-13.33253,0
-57.02705,-13.40324,0
-57.02705,-13.40324,0
-56.95634,-13.47396,0
-56.95634,-13.47396,0
-56.88564,-13.54467,0
-56.88564,-13.54467,0
-56.81493,-13.61538,0
-56.81493,-13.61538,0
-56.74422,-13.68609,0
-56.74422,-13.68609,0
-56.67351,-13.7568,0
-56.67351,-13.7568,0
-56.6028,-13.82751,0
-56.6028,-13.82751,0
-56.53209,-13.89822,0
-56.53209,-13.89822,0
-56.46138,-13.96893,0
-56.46138,-13.96893,0
